AUTOR,TITULO
" Capusotto, Diego - Saborido, Pedro",Peter Capusotto
" Paz, Carlos",Efemérides Literarias Argentinas
" Forn, Juan y Otros",La guerra de Malvinas (Argentina 1982)
" Feinmann, José Pablo",Timote Secuestro y muerte del General Aramburu
" Pigna, Felipe",Los Mitos de la Historia Argentina
" Forn, Juan y Otros",La guerra de Malvinas (Argentina 1982)
" Lanata, jorge",Polaroides
" Soriano, Osvaldo","Reveldes, soñadores y fugitivos"
" Soriano, Osvaldo",No habrá más penas ni olvido
" Bucay, Jorge",El elefante encadenado
" Luna, Félix",Historia integral de la Argentina Tomo 2
" Luna, Félix",Histria integral de la Argentina
" de Vasconcelos, José Mauro",Mi planta naranja-lima
" Carrizo De La Canal, Gustavo ",DINOSAURIOS gigantes de la Prehistoria
" de Vasconcelos, José Mauro",Mi planta naranja-lima
" de Vasconcelos, José Mauro",Vamos a calentar el sol
" Luna, Félix",Historia integral de la Argentina secreta Tomo 3
" Freire, Paulo",La importancia de leer y el proceso de liberación
" Kipling, Rudyard",Historias presisamente así
" Castelain-Meunier, Chiristine","Padres, Mdres, Hijos"
" Civale, Cristina",Niños lejos de Disneylandia
" Carbajal, Mariana",El aborto en debate
" Rey, María Esther",Didáctica de la matemática   Primer Ciclo
" Archanco, Pamela",Atrapafaltas  Ortografía 4
" Archanco, Pamela",Atrapafaltas   Ortografía 5
" Freire, Paulo",La educación como practica de la libertad
" Romero, Luis Alberto",La crisis argentina Una mirada al siglo XX
" Bayer, Osvaldo",La Patagonia rebelde
" de Vasconcelos, José Mauro",Vamos a calentar el sol
" Delgado, Josefina",Alfonsina Storni  Una Biografía esencial
" Macri, Mariela y Otros",El trabajo infantil no es juego
" de Vasconcelos, José Mauro",Vamos a calentar el sol
" Preisz, Carlos Oscar",Pelajes del caballo
" Vaca, Pablo",Aperos criollos
" Delgado, María Angélica y Otros",Lengua 4 ideas en la cabeza
" Delgado, María Angélica y Otros",Lengua 5 ideas en la cabeza
" Andrés, Marina E. y Otros",Matemática 5 ideas en la cabeza
" Fariña, Mabel B. y Otros",Ciencias Sociales ideas en la cabeza
Ediciones Banco Velox,Pintura Argentina Candido López  CUADERNO 2
Ediciones Banco Velox,Pintura Argentina Quinquela y Victoria  CUADERNO 3
Ediciones Banco Velox,Pintura Argentina Expresiones Metafísicas CUADERNO 5
Ediciones Banco Velox,Pintura Argentina Spilimbergo y Guttero CUADERNO 6
Ediciones Banco Velox,Pintura Argentina Precursores II CUADERNO 7
Ediciones Banco Velox,Pintura Argentina Nueva GeneraCIóN CUADERNO 8
Ediciones Banco Velox,Pintura Argentina Pintores de la Boca II CUADERNO 12
Equipo TIKAL,Los Aztecas
Equipo Tikal,Los Incas
"  Quiroga, Horacio",Cuentos de la Selva
" Lejarraga, Horacio",Desarrollo del niño en contesto
" Wilde, Oscar",El fantasma de Canterville
" Di Meglio, Gabriel",¡Viva el bajo pueblo!
" Wilde, Oscar",El fantasma de Caterville
" Halperín Donghi, Tulio",La República imposible (1930 - 1945)
" Chiaramonte, José Carlos","Ciudades, Provincias, Estados: Orígenes de la Nación Argentina."
" de Vasconcelos, José Mauro",Vamos a calentar el sol
" de Vasconcelos, José Mauro",Mi planta naranja-lima
" Frank, Anne",El diario de Ana Frank
" Buchbinder, Pablo",Historia de las Universidades Argentinas
" Martin, Gerald","Gabriel García Márquez, Una vida"
" Aguinis, Marcos",Profanación del amor
" Theorin, Johan",La tormenta de nieve
" Clark, Mary Higgins",Mentiras de sangre
" Lamborghini, Osvaldo",Novelas y cuentos II
" Rivero, Viviana",Y ellos se fueron
" Allende, Isabel",Paula
" Sehinkman, Diego",Qué tienen los plíticos en la cabeza?
" Caygill, Howard - Coles, Alex  y  Klimowski, Andrzej",Walter Benjamin Para principiantes
" Leader, Darian - Groves, Judy",Lacan Para principiantes
"Cherniavsky, Axel - Alcantea, Enrique",Spinoza Para principiantes
" Sinay, Sergio - Scenna, Miguel Angel",Che Guevara Para principiantes
" Spencer, Llooyd - Krauze, Andrzej",Hegel Para principiantes
" McEvoy, J. P. - Zárate, Oscar",Teoría Cuántica Para principiantes
" Garvie, Alejandro - Sanyé",Economía Desde la antigua Grecia hasta la Crisis de la globalización
" Ali, Teriq - Evans, Phil",Trotsky Para principiantes
" Stengel, Marilen - Rey, Diego",Literatura Universal  Tomo II Movimientos y autores del siglo XX
" Sautet, Marc - Boussignac, Patrick",Nietzsche Para principiantes
" Larsson, Stieg",Los hombres que no amaban a las mujeres
" Larsson, Stieg",La chica que soñaba con una cerilla y un bidón de gasolina
" Eco, Humberto",El cementerio de Praga
" Bonelli, Florencia",Indias Blancas La vuelta del ranquel
" Bonelli, Florencia",Indias Blancas
" Mandela, Nelson",Conversaciones conmigo mismo
" Randazzo, Florencio",Mejor que decir
" Bonasso, Miguel",Diario de un clandestino
" Solá, María Delia",Aborígenes Argentinos
" Marx, Karl",El capital Pensadores universales
" Ingenieros, José",El hombre mediocre Pensadore universales
" Hosseini, Khaled",Cometas en el cielo
" Smith, Wilbur",Tiempo de morir
" Segal, Erich",Love Story Historia de amor (Novela)
" Segal, Erich",Love Story Historia de amor (Novela)
" Segal, Erich",Love Story Historia de amor (Novela)
" Segal, Erich",Love Story Historia de amor (Novela)
" Allende, Isabel",La casa de los espíritus
" Segal, Erich",Love Story Historia de amor (Novela)
